_id,ltable_id,rtable_place_id,ltable_name,ltable_address,ltable_phone,ltable_lat,ltable_long,rtable_name,rtable_address,rtable_phone,rtable_lat,rtable_long,predicted
5695,JMRGOLEwIh1yfbkl8NeSOA,ChIJL6YcYo0B3IARASgzioeIhDM,cheba hut toasted subs,4651 mission blvd san diego ca 92109,8584124019,32.798609,-117.25596499999999,cheba hut toasted subs,4651 mission blvd san diego ca 92109 usa,8584124019,32.798609,-117.25596499999999,1
5701,KWIHJu11t2llkyGo7RxATg,ChIJ0XMmY40B3IARvLxm_1x1hBA,taco surf pacific beach,4657 mission blvd san diego ca 92109,8582723877,32.798759999999994,-117.25585,taco surf pb,4657 mission blvd san diego ca 92109 usa,8582723877,32.7988484,-117.2560483,1
5712,buVnF-YtQ75pp91HwV5UHw,ChIJM6s2L5MB3IAR6E93g0dwD0o,isabel's,966 felspar st san diego ca 92109,8582728400,32.798357,-117.252521,isabel's,966 felspar st san diego ca 92109 usa,8582728400,32.7984577,-117.2525747,1
5718,B-ItDB2BKecNT8sdLq9AIA,ChIJV54QJZMB3IARYYewxjIR2xM,cass street bar & grill,4612 cass st san diego ca 92109,8582701320,32.79853,-117.25241000000001,cass street bar & grill,4612 cass st san diego ca 92109 usa,8582701320,32.7986651,-117.25246240000001,1
5719,lw_Ut-FHm-jjwvOinGfzzw,ChIJfa4GNpAB3IARejU7Q6j3RYA,java earth coffee,4978 cass st san diego ca 92109,8582740028,32.80545,-117.25453,java earth coffee,4978 cass st san diego ca 92109 usa,8582740028,32.8055085,-117.2545101,1
5720,PWdxcU5rjBIunreW8NKU2Q,ChIJR7wNvcAB3IARlodw27RoQ9A,costa brava,1653 garnet ave san diego ca 92109,8582731218,32.79978,-117.23957,costa brava,1653 garnet ave san diego ca 92109 usa,8582731218,32.7998528,-117.2396213,1
5721,r-59c9YgjqShVvQVI-AGEQ,ChIJtUFERscB3IAROAP9g_0LLFQ,pacific beach fish shop,1775 garnet ave san diego ca 92109,8584834746,32.8003623479715,-117.237298100695,pacific beach fish shop,1775 garnet ave san diego ca 92109 usa,8584834746,32.80037919999999,-117.2373091,1
5730,oMeb2nQHkYJ2LDu8PQZ9BA,ChIJiZ1kccAB3IARHW-fwc_RaSg,iron pig alehouse,1520 garnet ave san diego ca 92109,8584124299,32.79976,-117.2423,iron pig alehouse,1520 garnet ave san diego ca 92109 usa,8584124299,32.79971,-117.2422246,1
5731,piyiMcvhidSo4wImB8hR_g,ChIJqXTBv3cB3IARnF26ArXN4rA,55 thai kitchen,1564 garnet ave san diego ca 92109,8589002146,32.79987,-117.24138,55 thai kitchen pb,1564 garnet ave san diego ca 92109 usa,8589002146,32.799834499999996,-117.2413352,1
5733,-LQIvxBl-oL5YQhqhkBBWA,ChIJJXa6JOgB3IAR1-phbvbWxMM,mr. shawarma,1701 garnet ave san diego ca 92109,6195586311,32.800132,-117.23879050000001,mr. shawarma,1701 garnet ave san diego ca 92109 usa,6195586311,32.800103299999996,-117.23879050000001,1
5734,XZPevXz7Fnraz3cxErJ1CA,ChIJY1XT9dQB3IAR_LU3brKw48A,scuderie italia,1525 garnet ave san diego ca 92109,8583526912,32.79925,-117.24197,scuderie italia,1525 garnet ave san diego ca 92109 usa,8583526912,32.79925399999999,-117.241978,1
5736,oEcKyxkcwKXTbUTK9Pet8Q,ChIJSU3Ub8cB3IARvdV0lvxkMM0,cafe athena,1846 garnet ave san diego ca 92109,8582741140,32.801698981029304,-117.236344306082,cafe athena,1846 garnet ave san diego ca 92109 usa,8582741140,32.8016544,-117.23660859999998,1
5737,vDHgG0pUU6FTU_l74MALoQ,ChIJqTfvqOoB3IARZ9g4jIg9Ha0,poke chop,1404 garnet ave san diego ca 92109,8582258875,32.7991099292033,-117.244349597281,poké chop,1404 garnet ave san diego ca 92109 usa,8582258875,32.7991825,-117.244346,1
5742,qyfYZa3mDooTE5WLKuwm2A,ChIJC4p56McB3IAR4MW1uX-rLOs,al basha cafe,2015 garnet ave ste 102 san diego ca 92109,8588867372,32.80122,-117.23312,al basha cafe,2015 garnet ave san diego ca 92109 usa,8588867372,32.80117929999999,-117.2330946,1
5745,OdV_s-V4Z3D9DoNa5HKNfA,ChIJA4yGfMAB3IARY2ao0_Omgh0,brazilian bowls,1560 garnet ave san diego ca 92109,8582466677,32.79997,-117.24146,brazilian bowls,1560 garnet ave san diego ca 92109 usa,8582466677,32.799787800000004,-117.2414723,1
5752,qoEHPAlMVF93NhQEEEDbIQ,ChIJNy1jweoB3IARPxVgYCLPLlQ,the orient thai cafe,1315 garnet ave san diego ca 92109,8582708424,32.7986418686018,-117.245954945683,the orient thai cafe,1315 garnet ave san diego ca 92109 usa,8582708424,32.798333,-117.24578170000001,1
5754,h145_UTxzAcP5_dC8wO2AA,ChIJxZTwkccB3IARhEl2P5reY54,pho sao bien,1958 garnet ave pacific beach ca 92109,8582729612,32.8015518188477,-117.23419189453101,pho sao bien ,1958 garnet ave san diego ca 92109 usa,8582729612,32.801496500000006,-117.23417179999998,1
5757,-4wx98G4Utc6NED2edwnvw,ChIJVQQzYvIB3IARE_pBlXHNv0E,bowl eater,1420 garnet ave san diego ca 92109,8583526620,32.79926,-117.24408999999999,bowl eater,1420 garnet ave san diego ca 92109 usa,8583526620,32.799285600000005,-117.24406129999998,1
5759,fUtvaSlhNtFjXMUk2g2xEg,ChIJgW4cb8cB3IAR1ndWBSCnwH0,pho time,1820 garnet ave san diego ca 92109,8582731664,32.801450391470105,-117.237266631352,pho time,1820 garnet ave san diego ca 92109 usa,8582731664,32.801455,-117.23724250000001,1
5761,54fOMbk7Tz_BC3QuF69N8g,ChIJ-csH2PoB3IAREn3t_Yrz7rY,powerhaus wholesome pizza & eats,1550 garnet ave san diego ca 92109,8588867666,32.7998003,-117.24181899999999,powerhaus wholesome pizza & eats,1550 garnet ave san diego ca 92109 usa,8588867666,32.7998003,-117.241822,1
5764,QKnxVpRfLOhd2tdPCykArA,ChIJfX_RisAB3IARLvZDY3vEH_U,pho minh,4468 ingraham st san diego ca 92109,8582704859,32.799214899999996,-117.2408407,pho minh,4468 ingraham st san diego ca 92109 usa,8582704859,32.7992159,-117.2409645,1
5765,gpDmqXuDELh2DnDoBPBrmw,ChIJsR5_G8AB3IARy4jm8r5SIk0,world curry,1433 garnet av san diego ca 92109,8582704455,32.79887,-117.24368,world curry,1433 garnet ave san diego ca 92109 usa,8582704455,32.798974300000005,-117.24365890000001,1
5766,PYcmG1AgIDWbu6Fek6sOaQ,ChIJU6bgSo0B3IARAY9lUjIuqy0,tweety thai cuisine,1768 garnet ave san diego ca 92109,8584833266,32.8019035996969,-117.237906768123,tweety thai cuisine,1768 garnet ave san diego ca 92109 usa,8584833266,32.8019192,-117.23780690000001,1
5769,smVcnBefiGE8nWX9_hwiZA,ChIJ5dKgB2IB3IARQlw580-m5hY,calozzi's cheesesteaks,1146 garnet ave ste a san diego ca 92109,8584125180,32.79827,-117.24905,calozzi’s cheeesesteaks,1146 garnet ave suite a san diego ca 92109 usa,8584125180,32.798292,-117.24906599999998,1
5772,Uq47yhufXDUGtgwurGNXmA,ChIJe1KojcAB3IARyrwHrQmEVEw,marino's italian ,4475 ingraham st san diego ca 92109,8584900168,32.79957,-117.24051999999999,marino's italian ,4475 ingraham st san diego ca 92109 usa,8584900168,32.7994645,-117.2404614,1
5773,N1uYlqCzRtm2M-XbllQLdA,ChIJZzgAG8AB3IAR6is_Hwav04k,ichiban p b,1441 garnet ave san diego ca 92109,8582705755,32.79891,-117.24351999999999,ichiban pb,1441 garnet ave san diego ca 92109 usa,8582705755,32.79895990000001,-117.2435048,1
